jurisdiction,date,deaths,cause
United States,2014-01-04,11244,cancer
United States,2014-01-04,13166,heart
United States,2014-01-04,54065,all
United States,2014-01-04,50189,natural
United States,2014-01-11,11504,cancer
United States,2014-01-11,13663,heart
United States,2014-01-11,56353,all
United States,2014-01-11,52450,natural
United States,2014-01-18,11496,cancer
United States,2014-01-18,12928,heart
United States,2014-01-18,54769,all
United States,2014-01-18,51043,natural
United States,2014-01-25,11629,cancer
United States,2014-01-25,12813,heart
United States,2014-01-25,54223,all
United States,2014-01-25,50560,natural
United States,2014-02-01,11584,cancer
United States,2014-02-01,12896,heart
United States,2014-02-01,54074,all
United States,2014-02-01,50402,natural
United States,2014-02-08,11355,cancer
United States,2014-02-08,12681,heart
United States,2014-02-08,53484,all
United States,2014-02-08,49790,natural
United States,2014-02-15,11477,cancer
United States,2014-02-15,12984,heart
United States,2014-02-15,53910,all
United States,2014-02-15,50175,natural
United States,2014-02-22,11478,cancer
United States,2014-02-22,12577,heart
United States,2014-02-22,52752,all
United States,2014-02-22,49010,natural
United States,2014-03-01,11251,cancer
United States,2014-03-01,12248,heart
United States,2014-03-01,51768,all
United States,2014-03-01,47907,natural
United States,2014-03-08,11535,cancer
United States,2014-03-08,12318,heart
United States,2014-03-08,52163,all
United States,2014-03-08,48353,natural
United States,2014-03-15,11340,cancer
United States,2014-03-15,12375,heart
United States,2014-03-15,51912,all
United States,2014-03-15,48111,natural
United States,2014-03-22,11406,cancer
United States,2014-03-22,12178,heart
United States,2014-03-22,51487,all
United States,2014-03-22,47779,natural
United States,2014-03-29,11533,cancer
United States,2014-03-29,12180,heart
United States,2014-03-29,50945,all
United States,2014-03-29,47494,natural
United States,2014-04-05,11352,cancer
United States,2014-04-05,12083,heart
United States,2014-04-05,50948,all
United States,2014-04-05,47201,natural
United States,2014-04-12,11368,cancer
United States,2014-04-12,12053,heart
United States,2014-04-12,50793,all
United States,2014-04-12,46955,natural
United States,2014-04-19,11197,cancer
