year,jurisdiction,population
2019,Alabama,4903185
2019,Alaska,731545
2019,Arizona,7278717
2019,Arkansas,3017804
2019,California,39512223
2019,Colorado,5758736
2019,Connecticut,3565287
2019,Delaware,973764
2019,District of Columbia,705749
2019,Florida,21477737
2019,Georgia,10617423
2019,Hawaii,1415872
2019,Idaho,1787065
2019,Illinois,12671821
2019,Indiana,6732219
2019,Iowa,3155070
2019,Kansas,2913314
2019,Kentucky,4467673
2019,Louisiana,4648794
2019,Maine,1344212
2019,Maryland,6045680
2019,Massachusetts,6892503
2019,Michigan,9986857
2019,Minnesota,5639632
2019,Mississippi,2976149
2019,Missouri,6137428
2019,Montana,1068778
2019,Nebraska,1934408
2019,Nevada,3080156
2019,New Hampshire,1359711
2019,New Jersey,8882190
2019,New Mexico,2096829
2019,New York,19453561
2019,North Carolina,10488084
2019,North Dakota,762062
2019,Ohio,11689100
2019,Oklahoma,3956971
2019,Oregon,4217737
2019,Pennsylvania,12801989
2019,Rhode Island,1059361
2019,South Carolina,5148714
2019,South Dakota,884659
2019,Tennessee,6829174
2019,Texas,28995881
2019,Utah,3205958
2019,Vermont,623989
2019,Virginia,8535519
2019,Washington,7614893
2019,West Virginia,1792147
2019,Wisconsin,5822434
2019,Wyoming,578759
2019,Puerto Rico,3193694
2018,Alabama,4887871
2018,Alaska,737438
2018,Arizona,7171646
2018,Arkansas,3013825
2018,California,39557045
2018,Colorado,5695564
2018,Connecticut,3572665
2018,Delaware,967171
2018,District of Columbia,702455
2018,Florida,21299325
2018,Georgia,10519475
2018,Hawaii,1420491
2018,Idaho,1754208
2018,Illinois,12741080
2018,Indiana,6691878
2018,Iowa,3156145
2018,Kansas,2911510
2018,Kentucky,4468402
2018,Louisiana,4659978
2018,Maine,1338404
2018,Maryland,6042718
2018,Massachusetts,6902149
2018,Michigan,9995915
2018,Minnesota,5611179
2018,Mississippi,2986530
2018,Missouri,6126452
2018,Montana,1062305
2018,Nebraska,1929268
2018,Nevada,3034392
2018,New Hampshire,1356458
2018,New Jersey,8908520
2018,New Mexico,2095428
2018,New York,19542209
2018,North Carolina,10383620
2018,North Dakota,760077
2018,Ohio,11689442
2018,Oklahoma,3943079
2018,Oregon,4190713
2018,Pennsylvania,12807060
2018,Rhode Island,1057315
2018,South Carolina,5084127
2018,South Dakota,882235
2018,Tennessee,6770010
2018,Texas,28701845
2018,Utah,3161105
2018,Vermont,626299
2018,Virginia,8517685
2018,Washington,7535591
2018,West Virginia,1805832
2018,Wisconsin,5813568
2018,Wyoming,577737
